featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"63","0","0","63",103.27755724947475,250.46197179281677,179.228,62.304
Land,"0",0.0,"64","0","0","64",105.15419554424778,265.79755230529679,177.364,62.522
Land,"0",0.0,"65","0","0","65",108.04879643415779,258.72997703011208,174.569,61.769
Land,"0",0.0,"66","0","0","66",108.94556620115500,253.93227346806268,173.680,61.653
Land,"0",0.0,"67","0","0","67",110.62921937441600,246.20709521695807,172.150,60.950
Land,"0",0.0,"68","0","0","68",112.20524381770709,233.02653749007845,170.698,60.336
Land,"0",0.0,"69","0","0","69",112.78973170067898,257.38847710718716,170.331,59.882
Land,"0",0.0,"70","0","0","70",114.37851185583354,274.52049298478011,168.901,60.573
Land,"0",0.0,"71","0","0","71",117.09954929879147,281.22962344961456,166.295,59.789
Land,"0",0.0,"72","0","0","72",117.68689733370890,277.62202989615400,165.840,60.160
Land,"0",0.0,"73","0","0","73",118.74106887919686,260.93536403084397,164.877,59.732
Land,"0",0.0,"74","0","0","74",120.08565446226626,240.97639344330241,163.539,59.869
Land,"0",0.0,"75","0","0","75",120.81794132777291,218.60628889997929,163.217,59.211
Land,"0",0.0,"76","0","0","76",122.35946441855624,203.02157859583187,162.017,58.243
Land,"0",0.0,"77","0","0","77",122.76522406698992,138.03112379427967,162.053,57.839
Land,"0",0.0,"78","0","0","78",123.92583908170469,143.19290570074898,163.192,57.615
Land,"0",0.0,"79","0","0","79",125.38780108195738,226.48799941415629,163.058,56.159
Land,"0",0.0,"80","0","0","80",126.31676037077672,237.41199595739647,162.130,56.122
Land,"0",0.0,"81","0","0","81",127.25659496934314,171.54040877766309,161.701,55.286
Land,"0",0.0,"82","0","0","82",127.85520194340128,194.84535149954451,162.117,54.855
Land,"0",0.0,"83","0","0","83",129.67687934977067,225.31401904348155,160.369,54.344
Land,"0",0.0,"84","0","0","84",130.87027694761250,228.80832134236363,160.022,53.203
Land,"0",0.0,"85","0","0","85",132.38095992353789,228.56614322991129,158.531,52.959
Land,"0",0.0,"86","0","0","86",133.44019297718859,216.77668531548767,158.231,51.943
Land,"0",0.0,"87","0","0","87",135.15643669815381,284.45005799423933,156.790,51.011
Land,"0",0.0,"88","0","0","88",135.93837881873242,337.70768540490121,156.420,51.700
Land,"0",0.0,"89","0","0","89",137.45873265495334,344.77058064744693,155.992,53.159
Land,"0",0.0,"90","0","0","90",139.74998811689662,2.51052685833532,155.434,55.381
Land,"0",0.0,"91","0","0","91",141.21774209499691,36.92499724218687,155.914,56.768
Land,"0",0.0,"92","0","0","92",142.25127458175268,30.54998557461972,156.758,57.365
Land,"0",0.0,"93","0","0","93",142.72158596348109,44.09030703989344,156.810,57.832
Land,"0",0.0,"94","0","0","94",144.29142947510704,68.31567829531097,158.364,58.056
Land,"0",0.0,"95","0","0","95",146.47697623079122,56.98546133947634,160.151,59.315
Land,"0",0.0,"96","0","0","96",148.48205025307377,62.60800215679392,161.872,60.343
Land,"0",0.0,"97","0","0","97",150.44876313475325,47.88145194740790,163.670,61.141
Land,"0",0.0,"98","0","0","98",152.07170794732562,327.86148808568663,164.474,62.551
Land,"0",0.0,"99","0","0","99",153.28984610489945,241.06021155554393,163.258,62.466
Land,"0",0.0,"100","0","0","100",154.30932435882679,231.34110507272757,162.658,61.643
Land,"0",0.0,"101","0","0","101",157.07324612226893,286.45959671337090,160.122,60.544
Land,"0",0.0,"102","0","0","102",158.55091757253314,294.41846803104482,159.302,61.774
Land,"0",0.0,"103","0","0","103",161.15476225447415,249.34630233576215,156.721,61.435
Land,"0",0.0,"104","0","0","104",164.16687187549269,181.39157648494216,154.218,59.758
Land,"0",0.0,"105","0","0","105",165.19546024150253,194.96131069865467,155.044,59.145
Land,"0",0.0,"106","0","0","106",167.44268285987170,264.75697510309965,152.812,58.884
Land,"0",0.0,"107","0","0","107",168.99231515409002,315.95186805560041,151.266,58.781
Land,"0",0.0,"108","0","0","108",169.71913443679631,320.64337636433288,151.338,59.504
Land,"0",0.0,"109","0","0","109",171.28089319046452,261.97050791905980,149.784,59.656
Land,"0",0.0,"110","0","0","110",172.61349895987763,260.79486574361135,148.545,59.164
Land,"0",0.0,"111","0","0","111",175.67594991581001,269.03550102157146,145.487,59.336
Land,"0",0.0,"112","0","0","112",178.97870427110064,251.88926847716144,142.198,59.040
Land,"0",0.0,"113","0","0","113",182.76076574116777,238.65920982213791,138.958,57.088
Land,"0",0.0,"114","0","0","114",187.26053351920507,166.48153984257323,135.126,54.730
Land,"0",0.0,"115","0","0","115",188.84100166654693,118.21900384919304,136.702,54.604
Land,"0",0.0,"116","0","0","116",189.63737461858807,122.37568661898638,137.193,53.977
Land,"0",0.0,"117","0","0","117",190.63365337170501,77.45541635863944,138.165,53.755
Land,"0",0.0,"118","0","0","118",191.44555957728545,72.70867788281252,138.805,54.255
Land,"0",0.0,"119","0","0","119",192.54428584589343,110.34716355825493,139.901,54.190
Land,"0",0.0,"120","0","0","120",194.35935226255921,152.50724339650353,141.345,53.090
Land,"0",0.0,"121","0","0","121",195.21086126981160,197.87609694618129,141.379,52.239
Land,"0",0.0,"122","0","0","122",196.47957080577521,201.04029455702809,140.597,51.240
Land,"0",0.0,"123","0","0","123",197.67675992280351,189.89768468789407,140.513,50.045
Land,"0",0.0,"124","0","0","124",199.33792310010583,210.96280678241945,140.062,48.447
Land,"0",0.0,"125","0","0","125",201.42744014476881,216.00353666729237,138.555,47.000
Land,"0",0.0,"126","0","0","126",202.19604145062408,217.60640279002783,138.220,46.308
Land,"0",0.0,"127","0","0","127",203.98447326916909,229.38917510027764,136.862,45.143
Land,"0",0.0,"128","0","0","128",205.75846631402720,228.47566063078344,135.515,43.989
Land,"0",0.0,"129","0","0","129",206.63372109956140,236.89162836982479,134.870,43.398
Land,"0",0.0,"130","0","0","130",208.08977597766827,257.52652221050442,133.537,42.812
Land,"0",0.0,"131","0","0","131",208.72052520400268,288.27110171983713,132.906,42.799
Land,"0",0.0,"132","0","0","132",209.51477832824028,274.56094486221969,132.278,43.284
Land,"0",0.0,"133","0","0","133",211.04348688617057,223.25149814662049,130.936,42.553
Land,"0",0.0,"134","0","0","134",211.41076139357077,242.03824076522625,130.780,42.220
Land,"0",0.0,"135","0","0","135",211.79547351711057,255.50375459830815,130.400,42.280
Land,"0",0.0,"136","0","0","136",212.34622101885671,226.64480751710900,129.966,41.941
Land,"0",0.0,"137","0","0","137",212.79875378237020,199.11907501979573,129.667,41.601
Land,"0",0.0,"138","0","0","138",213.51795071194184,211.92612364377089,129.705,40.883
Land,"0",0.0,"139","0","0","139",214.08037924805589,236.02800858756271,129.188,40.662
Land,"0",0.0,"140","0","0","140",214.33074231198785,228.54494061262969,129.010,40.485
