featurecla,scalerank,min_zoom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,long,lat
Land,"0",0.0,"62","0","0","62",46.12289250110840,8.04092478856722,138.449,-35.127
Land,"0",0.0,"63","0","0","63",46.90383936056836,278.58263367202193,138.208,-34.385
Land,"0",0.0,"64","0","0","64",47.75091342678204,236.77171638060631,137.719,-35.077
Land,"0",0.0,"65","0","0","65",48.65944558322904,330.86249226864987,136.829,-35.261
Land,"0",0.0,"66","0","0","66",49.42070700543660,29.05119888156271,137.352,-34.707
Land,"0",0.0,"67","0","0","67",50.01733712633994,26.48474420577859,137.504,-34.130
Land,"0",0.0,"68","0","0","68",50.64108934601162,16.05395631406962,137.890,-33.640
Land,"0",0.0,"69","0","0","69",51.38584727883766,288.74984037057521,137.810,-32.900
Land,"0",0.0,"70","0","0","70",52.56439464499434,232.47685836144291,136.997,-33.753
Land,"0",0.0,"71","0","0","71",53.27664141613888,223.50924339467596,136.372,-34.095
Land,"0",0.0,"72","0","0","72",54.15941740950602,251.75044725392229,135.989,-34.890
Land,"0",0.0,"73","0","0","73",55.04201932202854,330.56495950864178,135.208,-34.479
Land,"0",0.0,"74","0","0","74",55.57364123143644,341.27524748867182,135.239,-33.948
Land,"0",0.0,"75","0","0","75",56.53150706752168,312.29703345647471,134.613,-33.223
Land,"0",0.0,"76","0","0","76",57.17855763093202,352.27354516610040,134.086,-32.848
Land,"0",0.0,"77","0","0","77",57.47626561118582,347.22046139692412,134.274,-32.617
Land,"0",0.0,"78","0","0","78",58.89530028101992,283.80488924631430,132.991,-32.011
Land,"0",0.0,"79","0","0","79",59.59857724970686,284.58880687919623,132.288,-31.983
Land,"0",0.0,"80","0","0","80",60.67652900035214,281.91193434992044,131.326,-31.496
Land,"0",0.0,"81","0","0","81",62.46956400885210,260.75868463496170,129.536,-31.590
Land,"0",0.0,"82","0","0","82",63.81301637612086,254.09836154139157,128.241,-31.948
Land,"0",0.0,"83","0","0","83",64.99902281988066,263.81465675978222,127.103,-32.282
Land,"0",0.0,"84","0","0","84",65.95547720156846,259.08049387932215,126.149,-32.216
Land,"0",0.0,"85","0","0","85",67.13307654430298,249.64147348263737,125.089,-32.729
Land,"0",0.0,"86","0","0","86",68.03023053911930,227.63756261429728,124.222,-32.959
Land,"0",0.0,"87","0","0","87",68.58887894442748,211.22162570179916,124.029,-33.484
Land,"0",0.0,"88","0","0","88",69.13794458799214,245.31280866359847,123.660,-33.890
Land,"0",0.0,"89","0","0","89",69.98692244987110,265.14992653465976,122.811,-33.914
Land,"0",0.0,"90","0","0","90",70.62116081078192,271.79861831785388,122.183,-34.003
Land,"0",0.0,"91","0","0","91",71.52365187394270,271.51288905102240,121.299,-33.821
Land,"0",0.0,"92","0","0","92",72.25081160500578,263.77197700649623,120.580,-33.930
Land,"0",0.0,"93","0","0","93",72.93891651241761,247.14821042001455,119.894,-33.976
Land,"0",0.0,"94","0","0","94",73.73778551949360,253.46790976645309,119.299,-34.509
Land,"0",0.0,"95","0","0","95",74.03282938870797,259.70693013326513,119.007,-34.464
Land,"0",0.0,"96","0","0","96",74.60861419186882,238.56096031014425,118.506,-34.747
Land,"0",0.0,"97","0","0","97",75.18496955889889,254.80272991434097,118.025,-35.065
Land,"0",0.0,"98","0","0","98",75.91549056297086,271.55636150895117,117.296,-35.025
Land,"0",0.0,"99","0","0","99",76.58588901668622,285.54121673632619,116.625,-35.025
Land,"0",0.0,"100","0","0","100",77.82407899115888,295.25485098218968,115.564,-34.386
Land,"0",0.0,"101","0","0","101",78.39417855654376,325.81868451447582,115.027,-34.197
Land,"0",0.0,"102","0","0","102",78.96768495246570,38.42142922950409,115.049,-33.623
Land,"0",0.0,"103","0","0","103",79.48252562874924,55.66874471119310,115.545,-33.487
Land,"0",0.0,"104","0","0","104",79.76640660430216,15.53099500812070,115.715,-33.260
Land,"0",0.0,"105","0","0","105",80.12733934993976,2.18070607967896,115.679,-32.900
Land,"0",0.0,"106","0","0","106",80.83331390121860,359.63396846620174,115.802,-32.205
Land,"0",0.0,"107","0","0","107",81.43643619960334,340.84187941078937,115.690,-31.612
Land,"0",0.0,"108","0","0","108",82.57719397735302,338.18656604932204,115.161,-30.602
Land,"0",0.0,"109","0","0","109",83.17111661151478,354.15024496680968,114.997,-30.031
Land,"0",0.0,"110","0","0","110",83.74236621240222,346.43339968988801,115.040,-29.461
Land,"0",0.0,"111","0","0","111",84.50530749974958,341.79749533200447,114.642,-28.810
Land,"0",0.0,"112","0","0","112",84.80024208457810,333.50501176959978,114.616,-28.516
Land,"0",0.0,"113","0","0","113",85.39592433529486,331.46020102732439,114.174,-28.118
Land,"0",0.0,"114","0","0","114",86.18909870983983,337.56693070885143,114.049,-27.335
Land,"0",0.0,"115","0","0","115",87.16539906276500,333.09324191023620,113.477,-26.543
Land,"0",0.0,"116","0","0","116",87.61392187564198,58.27628376440478,113.339,-26.117
Land,"0",0.0,"117","0","0","117",88.23045694974599,57.28002875635642,113.778,-26.549
Land,"0",0.0,"118","0","0","118",89.21765001559390,50.16414905225364,113.441,-25.621
Land,"0",0.0,"119","0","0","119",89.79213236024184,131.46101781367901,113.937,-25.911
Land,"0",0.0,"120","0","0","120",90.27949229181910,70.37111277848396,114.233,-26.298
Land,"0",0.0,"121","0","0","121",90.79192932830215,342.99043103662257,114.216,-25.786
Land,"0",0.0,"122","0","0","122",91.72189640666078,335.45567880529882,113.721,-24.999
Land,"0",0.0,"123","0","0","123",92.05114366543292,332.64796412632836,113.625,-24.684
Land,"0",0.0,"124","0","0","124",92.42964767876224,346.42909498227112,113.394,-24.385
Land,"0",0.0,"125","0","0","125",93.01815410247001,25.20461408754260,113.502,-23.806
Land,"0",0.0,"126","0","0","126",93.33844513423932,27.51910068436243,113.707,-23.560
Land,"0",0.0,"127","0","0","127",93.85694287801203,2.44705804319164,113.843,-23.060
Land,"0",0.0,"128","0","0","128",94.45114398136442,9.75212993752732,113.737,-22.475
